id,type,src,dst,app,latency,message,ctime,size,buffer
73,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,7301.673333333333,50000,217
73,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,7301.673333333333,100000,218
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,7400,100000,219
74,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,7401.673333333333,50000,220
74,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,7401.673333333333,100000,221
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,7500,100000,222
75,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,7501.673333333333,50000,223
75,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,7501.673333333333,100000,224
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,7600,100000,225
76,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,7601.673333333333,50000,226
76,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,7601.673333333333,100000,227
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,7700,100000,228
77,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,7701.673333333333,50000,229
77,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,7701.673333333333,100000,230
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,7800,100000,231
78,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,7801.673333333333,50000,232
78,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,7801.673333333333,100000,233
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,7900,100000,234
79,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,7901.673333333333,50000,235
79,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,7901.673333333333,100000,236
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,8000,100000,237
80,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,8001.673333333333,50000,238
80,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,8001.673333333333,100000,239
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,8100,100000,240
81,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,8101.673333333333,50000,241
81,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,8101.673333333333,100000,242
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,8200,100000,243
82,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,8201.673333333334,50000,244
